ID	Title	Number of novels	Author	Date	Publisher	Series
1116717182	Augen zu und durch	1			books2read	?
1046125516	Aus dem Feuer geboren	1			MIRA Taschenbuch	?
1046146254	Aus heiterem Himmel	1			MIRA Taschenbuch	?
1176634550	Aus lauter Liebe nach New York	1			CORA Verlag	?
1150516119	Aus nächster Nähe	1			HarperCollins	?
1176789023	Aus purer Liebe?	1			CORA Verlag	?
1046149539	Aus reiner Notwehr	1			MIRA Taschenbuch	?
1176867903	Aus, Schluss - oder Kuss?	1			CORA Verlag	?
1046125575	Ausersehen : Tales of Partholon 1	1			MIRA Taschenbuch	?
1046128248	Ausgeblutet	1			MIRA Taschenbuch	?
1176634577	Ausgepackt!	1			CORA Verlag	?
1177131307	Ausgerechnet der Boss?	1			CORA Verlag	?
1176962302	Ausgerechnet er!	1			CORA Verlag	?
1095886673	Ausgerechnet Kowalski?	1			MIRA Taschenbuch	?
1140239147	Ausgerechnet Mr. Darcy	1			MIRA Taschenbuch	?
1176962051	Ausgerechnet Paul! : Digital Edition	1			CORA Verlag	?
1176793640	Australische Millionäre - Leidenschaftliche Affären Down Under (3-teilige Serie)	3			CORA Verlag	?
1176880896	Australische Romanze	1			CORA Verlag	?
1176875515	Baby, lass uns tanzen	1			CORA Verlag	?
1175423939	Backstage (Teil 1 & 2)	1			books2read	?
1125116951	Backstage in Seattle	1			books2read	?
1176511254	Ballade der Leidenschaft	1			CORA Verlag	?
1176953176	Ballade der Liebe	1			CORA Verlag	?
1176619713	Balladen der Leidenschaft : eBundle	1			CORA Verlag	?
1176878956	Ballnacht in Colston Hall	1			CORA Verlag	?
1140239317	Ballsaison : Ein süßes Abenteuer/Lady Lavinias Liebestraum	1			MIRA Taschenbuch	?
1176794531	Ballsaison in London	1			CORA Verlag	?
117542434X	Bayou Billionaires - Reich wie Midas und sündhaft sexy (4-teilige erotische Serie)	4			MIRA Taschenbuch	?
1133364691	Beautiful	1			MIRA Taschenbuch	?
1061188345	Beautiful Bastard	1			MIRA Taschenbuch	?
1079069534	Beautiful Beginning : Novelle	1			MIRA Taschenbuch	?
1082427942	Beautiful Beloved : Novelle	1			MIRA Taschenbuch	?
1167518829	Beautiful Beloved/ Beautiful Boss	1			MIRA Taschenbuch	?
1069422576	Beautiful Bitch	1			MIRA Taschenbuch	?
1069422584	Beautiful Bombshell	1			MIRA Taschenbuch	?
1133364845	Beautiful Boss	1			MIRA Taschenbuch	?
1136136754	Beautiful Idols - Die Nacht gehört dir	1			HarperCollins ya!	?
1167521137	Beautiful Idols - Wissen ist Macht : Jugendbuch Neuerscheinung 2018	1			HarperCollins	?
1074759931	Beautiful Player	1			MIRA Taschenbuch	?
1089059671	Beautiful Secret	1			MIRA Taschenbuch	?
1062782984	Beautiful Stranger	1			MIRA Taschenbuch	?
1167520386	Beautiful-Bastard Serie	1			MIRA Taschenbuch	?
1114505013	Beautiful: Beautiful Bitch/Beautiful Bombshell/Beautiful Beginning	1			MIRA Taschenbuch	?
1177026015	Beccas Traum	1			CORA Verlag	?
1176794183	Becky - wem gehört dein Herz?	1			CORA Verlag	?
1099705398	Bedrohliche Nähe	1			HarperCollins	?
1176626388	Begegnung auf Bali	1			CORA Verlag	?
1176962515	Begegnungen auf der Via Veneto	1			CORA Verlag	?
1177130556	Begehrt - und belogen? : Sex & The Office Teil 2	1			MIRA Taschenbuch	?
1176619861	Begehrt von dem verruchten Lord	1			CORA Verlag	?
1176962817	Bei Anruf: Sex	1			CORA Verlag	?
1167521013	Bei deinem Leben : Thriller Neuerscheinung 2018	1			HarperCollins	?
1176519328	Bei Dir fühle ich mich geborgen	1			CORA Verlag	?
1177123363	Bei dir werd ich schwach	1			CORA Verlag	?
1176881051	Bei mir bist du richtig!	1			CORA Verlag	?
1046124994	Beichte eines Verführers	1			MIRA Taschenbuch	?
1177025396	Beim Blick in deine blauen Augen	1			CORA Verlag	?
1176617265	Beim zweiten Biss wird alles anders : Digital Edition	1			CORA Verlag	?
117713117X	Beim zweiten Mal wird es noch besser	1			CORA Verlag	?
1046147129	Bekenntnisse einer Ex	1			MIRA Taschenbuch	?
1046146815	Benedict-Clan 'Der Mitternachtsmann	1			MIRA Taschenbuch	?
1176947478	Berauschend wie französischer Wein	1			CORA Verlag	?
1102536040	Berauschende Nähe	1			MIRA Taschenbuch	?
1177123290	Berauscht von so viel Glück	1			CORA Verlag	?
1177034247	Bereit für ein neues Glück?	1			CORA Verlag	?
1046143727	Bernsteinsommer	1			MIRA Taschenbuch	?
